Rok;Województwo;Kod strefy;Nazwa strefy;Kod stacji;Stary kod stacji;WskaŸnik;Czas uœredniania;Œrednia;Min;Maks;Liczba pomiarów;Kompletnoœæ ;Liczba Lato/Zima
2012;œl¹skie;PL2402;Aglomeracja Rybnicko-Jastrzêbska;SlZorySikors;SlZoryzZory_sikor;PM2.5;24g;32,6;5,0;354,0;310;84,7;0,7
2012;œl¹skie;PL2403;miasto Bielsko-Bia³a;SlBielSterni;SlBielbBiel_stern;PM2.5;24g;34,3;5,0;246,0;322;88,0;0,8
2012;œl¹skie;PL2404;miasto Czêstochowa;SlCzestoZana;SlCzestCzes_zana6;PM2.5;24g;30,2;5,0;240,0;330;90,2;1,0
2012;œl¹skie;PL2405;strefa œl¹ska;SlGodGliniki;SlGodowWodz_wodzi;PM2.5;24g;39,9;5,0;207,0;354;96,7;1,0
2012;œl¹skie;PL2405;strefa œl¹ska;SlZlotPotLes;SlZlotyJano_lesni;PM2.5;24g;17,9;5,0;116,0;279;76,2;1,7
2012;œwiêtokrzyskie;PL2601;miasto Kielce;SkKielJagiel;SkKielJagielWios;PM2.5;1g;29,9;0,0;541,3;8157;92,9;1,1
2012;œwiêtokrzyskie;PL2601;miasto Kielce;SkKielJagiel;SkKielJagielWios;PM2.5;24g;40,3;5,1;218,2;171;46,7;0,2
2012;œwiêtokrzyskie;PL2602;strefa œwiêtokrzyska;SkBuskRokosz;SkBuskoWios2;PM2.5;24g;26,1;6,5;182,5;362;98,9;1,0
2012;œwiêtokrzyskie;PL2602;strefa œwiêtokrzyska;SkPolaRuszcz;SkPolanRuszcz;PM2.5;1g;24,5;1,7;320,3;8743;99,5;1,0
2012;œwiêtokrzyskie;PL2602;strefa œwiêtokrzyska;SkStaraZlota;SkStaracZlota2;PM2.5;24g;28,3;1,3;178,7;317;86,6;0,9
2012;warmiñsko-mazurskie;PL2801;miasto Olsztyn;WmOlsPuszkin;WmOlsztyWIOS_Puszkin;PM2.5;24g;18,2;2,2;99,0;314;85,8;1,0
2012;warmiñsko-mazurskie;PL2802;miasto Elbl¹g;WmElbBazynsk;WmElblagWIOS_Bazynsk;PM2.5;24g;18,0;1,8;101,0;354;96,7;1,1
2012;warmiñsko-mazurskie;PL2803;strefa warmiñsko-mazurska;WmOstrChrobr;WmOstrodWIOS_Chrobre;PM2.5;24g;18,4;2,1;120,7;361;98,6;1,0
2012;warmiñsko-mazurskie;PL2803;strefa warmiñsko-mazurska;WmPuszczaBor;WmPuszcz_IOS_Borecka;PM2.5;24g;13,8;1,4;70,6;364;99,5;1,0
2012;wielkopolskie;PL3001;Aglomeracja Poznañska;WpPoznPolank;WpWKP001;PM2.5;1g;28,9;0,7;234,1;7638;87,0;0,9
2012;wielkopolskie;PL3001;Aglomeracja Poznañska;WpPoznPolank;WpWKP001;PM2.5;24g;24,4;5,0;161,3;316;86,3;1,0
2012;wielkopolskie;PL3002;miasto Kalisz;WpKaliSawick;WpWKPKalisz007/10;PM2.5;1g;31,9;0,5;434,9;8387;95,5;1,0
2012;zachodniopomorskie;PL3201;Aglomeracja Szczeciñska;ZpSzczAndr01;ZpSzczecin001;PM2.5;1g;17,1;0,0;186,0;4590;52,3;0,8
2012;zachodniopomorskie;PL3201;Aglomeracja Szczeciñska;ZpSzczAndr01;ZpSzczecin001;PM2.5;24g;14,9;1,0;91,5;358;97,8;1,0
2012;zachodniopomorskie;PL3201;Aglomeracja Szczeciñska;ZpSzczPils02;ZpSzczecin002;PM2.5;1g;17,6;1,0;120,0;8662;98,6;1,0
2012;zachodniopomorskie;PL3202;miasto Koszalin;ZpKoszSpasow;ZpKoszalin006;PM2.5;24g;9,9;1,0;50,0;338;92,3;1,2
2012;zachodniopomorskie;PL3203;strefa zachodniopomorska;ZpMyslZaBram;ZpMysMysliborz007;PM2.5;24g;21,0;1,0;99,9;285;77,9;0,9
2012;zachodniopomorskie;PL3203;strefa zachodniopomorska;ZpSzczec1Maj;ZpSzcSzczecinek008;PM2.5;24g;14,7;2,4;66,2;365;99,7;1,0
2013;dolnoœl¹skie;PL0201;Aglomeracja Wroc³awska;DsWrocAlWisn;DsWrocWisA;PM2.5;1g;30,4;3,0;180,0;8073;92,2;1,0
2013;dolnoœl¹skie;PL0201;Aglomeracja Wroc³awska;DsWrocNaGrob;DsWrocGrobla;PM2.5;24g;27,8;4,4;132,0;358;98,1;1,0
2013;dolnoœl¹skie;PL0202;miasto Legnica;DsLegAlRzecz;DsLegRzeczA;PM2.5;24g;26,7;5,0;137,0;356;97,5;1,0
2013;dolnoœl¹skie;PL0203;miasto Wa³brzych;DsWalbrzWyso;DsWalbWysA;PM2.5;24g;23,8;2,0;138,0;345;94,5;1,0
2013;dolnoœl¹skie;PL0204;strefa dolnoœl¹ska;DsOsieczow21;DsOsieczow;PM2.5;24g;17,6;2,5;84,2;359;98,4;1,0
2013;dolnoœl¹skie;PL0204;strefa dolnoœl¹ska;DsZgorBohGet;DsZgorzBohA;PM2.5;24g;23,7;4,6;100,9;314;86,0;1,3
2013;kujawsko-pomorskie;PL0401;Aglomeracja Bydgoska;KpBydBerling;KpBydgBerlinga;PM2.5;24g;18,3;1,4;77,3;365;100,0;1,0
2013;kujawsko-pomorskie;PL0401;Aglomeracja Bydgoska;KpBydWarszaw;KpBydgWarszawska;PM2.5;1g;23,4;1,0;340,8;8110;92,6;1,0
2013;kujawsko-pomorskie;PL0402;miasto Toruñ;KpToruDziewu;KpTorunDziewulsk;PM2.5;24g;16,5;0,9;61,9;324;88,8;1,3
2013;kujawsko-pomorskie;PL0403;miasto W³oc³awek;KpWloclSiels;KpWloclSielska;PM2.5;24g;19,1;3,9;57,1;350;95,9;1,0
2013;kujawsko-pomorskie;PL0404;strefa kujawsko - pomorska;KpWiktorowoG;KpAirpWiktorowo;PM2.5;1g;10,7;1,0;127,7;7987;91,2;1,0
2013;kujawsko-pomorskie;PL0404;strefa kujawsko - pomorska;KpZielBoryTu;KpZielBoryTuch;PM2.5;24g;14,5;2,5;77,7;362;99,2;1,0
2013;lubelskie;PL0601;Aglomeracja Lubelska;LbLubSliwins;LbLublin_Sliwins_5;PM2.5;24g;21,4;1,0;76,0;353;96,7;1,1
2013;lubelskie;PL0602;strefa lubelska;LbBiaPodOrze;LbBialaPOrzechowa;PM2.5;24g;20,4;5,0;70,0;362;99,2;1,0
2013;lubelskie;PL0602;strefa lubelska;LbChelJagiel;LbChelmJagWIOS;PM2.5;24g;21,3;5,0;96,0;349;95,6;1,1
2013;lubelskie;PL0602;strefa lubelska;LbZamoHrubie;LbZamoscHrubieszowsk;PM2.5;24g;22,4;3,0;74,0;365;100,0;1,0
2013;lubuskie;PL0801;miasto Gorzów Wielkopolski;LuGorzPilsud;LuGorzowWIOS_MAN;PM2.5;24g;16,4;2,9;94,4;334;91,5;1,2
2013;lubuskie;PL0802;miasto Zielona Góra;LuZielKrotka;LuZgoraWIOS_AUT;PM2.5;1g;23,9;0,0;153,0;7898;90,2;1,1
2013;lubuskie;PL0802;miasto Zielona Góra;LuZielKrotka;LuZgoraWIOS_AUT;PM2.5;24g;20,4;1,6;92,1;362;99,2;1,0
2013;lubuskie;PL0803;strefa lubuska;LuWsKaziWiel;LuWschowWIOS_AUT;PM2.5;24g;22,0;4,2;114,3;358;98,1;1,0
2013;³ódzkie;PL1001;Aglomeracja £ódzka;LdLodzCzerni;LdLodzWIOSACzernik;PM2.5;24g;23,0;3,4;87,0;353;96,7;1,1
2013;³ódzkie;PL1001;Aglomeracja £ódzka;LdLodzLegion;LdLodzWSSEMLegiono;PM2.5;24g;30,1;2,2;105,0;346;94,8;1,1
2013;³ódzkie;PL1001;Aglomeracja £ódzka;LdZgieMielcz;LdZgierzWIOSAMielcza;PM2.5;1g;27,5;1,0;390,0;8514;97,2;1,0
2013;³ódzkie;PL1002;strefa ³ódzka;LdPioTrSienk;LdPiotrkWIOSMSienkie;PM2.5;24g;30,4;4,7;150,0;354;97,0;1,1
2013;ma³opolskie;PL1201;Aglomeracja Krakowska;MpKrakAlKras;MpKrakowWIOSAKra6117;PM2.5;1g;43,5;4,0;272,0;8638;98,6;1,0
2013;ma³opolskie;PL1201;Aglomeracja Krakowska;MpKrakBujaka;MpKrakowWIOSBuja6119;PM2.5;1g;32,0;3,0;291,0;8320;95,0;1,0
2013;ma³opolskie;PL1201;Aglomeracja Krakowska;MpKrakBujaka;MpKrakowWIOSBuja6119;PM2.5;24g;33,4;5,0;187,0;359;98,4;1,0
2013;ma³opolskie;PL1201;Aglomeracja Krakowska;MpKrakBulwar;MpKrakowWIOSBulw6118;PM2.5;1g;35,2;3,0;308,0;8408;96,0;1,0
2013;ma³opolskie;PL1202;miasto Tarnów;MpTarBitStud;MpTarnowWIOSBitw6304;PM2.5;24g;27,1;5,0;136,0;334;91,5;0,8
2013;ma³opolskie;PL1203;strefa ma³opolska;MpBochKonfed;MpBochniWIOSKBar0106;PM2.5;24g;29,8;5,0;156,0;344;94,2;1,1
2013;ma³opolskie;PL1203;strefa ma³opolska;MpNoSaczNadb;MpNSaczWIOSNadb6205;PM2.5;24g;35,9;5,0;203,0;364;99,7;1,0
2013;ma³opolskie;PL1203;strefa ma³opolska;MpTrzebOsZWM;MpTrzebiWIOSZWM0305;PM2.5;24g;27,9;5,0;150,0;355;97,3;1,0
2013;ma³opolskie;PL1203;strefa ma³opolska;MpZakopaSien;MpZakopaWIOSRown1701;PM2.5;24g;31,6;5,0;244,0;365;100,0;1,0
2013;mazowieckie;PL1401;Aglomeracja Warszawska;MzWarAlNiepo;MzWarNiepodKom;PM2.5;1g;31,2;1,1;209,5;7918;90,4;1,0
2013;mazowieckie;PL1401;Aglomeracja Warszawska;MzWarKondrat;MzWarTarKondra;PM2.5;24g;23,6;4,0;107,4;352;96,4;1,0
2013;mazowieckie;PL1401;Aglomeracja Warszawska;MzWarWokalna;MzWarszUrsynow;PM2.5;1g;23,6;1,3;132,8;8405;95,9;1,0
2013;mazowieckie;PL1401;Aglomeracja Warszawska;MzWarWokalna;MzWarszUrsynow;PM2.5;24g;22,4;4,3;87,8;346;94,8;1,1
2013;mazowieckie;PL1402;miasto P³ock;MzPlocKroJad;MzPlockPKN;PM2.5;24g;22,1;3,1;95,8;329;90,1;0,8
2013;mazowieckie;PL1403;miasto Radom;MzRadHallera;MzRadomHallera;PM2.5;24g;24,3;4,0;110,5;349;95,6;1,1
2013;mazowieckie;PL1404;strefa mazowiecka;MzPiasPulask;MzPiastowPulask;PM2.5;24g;27,1;4,7;114,2;359;98,4;1,0
2013;mazowieckie;PL1404;strefa mazowiecka;MzSiedKonars;MzSiedlceKonar;PM2.5;1g;28,1;0,5;301,0;8545;97,5;1,0
2013;opolskie;PL1601;miasto Opole;OpOpoleOsAKr;OpOpole4pyl;PM2.5;24g;23,7;2,5;111,0;353;96,7;1,0
2013;opolskie;PL1602;strefa opolska;OpKKozBSmial;OpKkozle1a;PM2.5;1g;32,9;0,0;324,0;8019;91,5;0,9
2013;opolskie;PL1602;strefa opolska;OpKluczMicki;OpKlucz2pyl;PM2.5;24g;27,1;2,5;137,0;344;94,2;1,1
2013;podkarpackie;PL1801;miasto Rzeszów;PkRzeszRejta;PkRzeszWIOSNoweMiasto;PM2.5;24g;25,1;4,5;168,0;362;99,2;1,0
2013;podkarpackie;PL1802;strefa podkarpacka;PkKrosKletow;PkKrosnoWIOSKletowki;PM2.5;24g;27,6;6,9;117,0;339;92,9;1,1
2013;podkarpackie;PL1802;strefa podkarpacka;PkNiskoSzkla;PkNiskoWIOSSzklar;PM2.5;24g;26,0;6,6;170,0;349;95,6;1,1
2013;podkarpackie;PL1802;strefa podkarpacka;PkPrzemGrunw;PkPrzemyslWIOSGrunw;PM2.5;1g;24,4;1,7;174,0;8413;96,0;1,0
2013;podlaskie;PL2001;Aglomeracja Bia³ostocka;PdBialWarsza;PdBialyWarszawska;PM2.5;24g;19,3;2,5;88,2;337;92,3;1,0
2013;podlaskie;PL2001;Aglomeracja Bia³ostocka;PdBialWaszyn;PdBialyMiejska;PM2.5;1g;20,5;0,0;456,0;8615;98,3;1,0
2013;podlaskie;PL2002;strefa podlaska;PdLomSikorsk;PdLomzaSikorskiego;PM2.5;24g;27,9;1,6;176,1;306;83,8;1,1
2013;pomorskie;PL2201;Aglomeracja Trójmiejska;PmGdaLeczk08;Pm.a08a;PM2.5;1g;13,0;0,8;143,3;8515;97,2;1,1
2013;pomorskie;PL2201;Aglomeracja Trójmiejska;PmGdaPowWiel;Pm.01w.02m;PM2.5;24g;13,8;1,0;74,0;356;97,5;1,0
2013;pomorskie;PL2202;strefa pomorska;PmKosTargo12;Pm.AM12.a;PM2.5;24g;27,8;2,0;118,0;349;95,6;1,0
2013;œl¹skie;PL2401;Aglomeracja Górnoœl¹ska;SlGliwicMewy;SlGliwiGliw_mewy;PM2.5;1g;34,0;1,0;343,0;8529;97,4;1,0
2013;œl¹skie;PL2401;Aglomeracja Górnoœl¹ska;SlGliwicMewy;SlGliwiGliw_mewy;PM2.5;24g;34,6;2,5;160,0;355;97,3;1,0
2013;œl¹skie;PL2401;Aglomeracja Górnoœl¹ska;SlKatoKossut;SlKatowKato_kossu;PM2.5;1g;32,2;0,0;319,0;8593;98,1;1,0
2013;œl¹skie;PL2401;Aglomeracja Górnoœl¹ska;SlKatoKossut;SlKatowKato_kossu;PM2.5;24g;33,0;2,5;180,0;327;89,6;1,0
2013;œl¹skie;PL2401;Aglomeracja Górnoœl¹ska;SlKatoPlebA4;SlKatowKato_aleja;PM2.5;24g;36,7;9,0;180,0;341;93,4;1,0
2013;œl¹skie;PL2402;Aglomeracja Rybnicko-Jastrzêbska;SlZorySikors;SlZoryzZory_sikor;PM2.5;24g;31,4;2,5;192,0;339;92,9;1,0
2013;œl¹skie;PL2403;miasto Bielsko-Bia³a;SlBielSterni;SlBielbBiel_stern;PM2.5;24g;33,6;2,5;250,0;362;99,2;1,0
2013;œl¹skie;PL2404;miasto Czêstochowa;SlCzestoZana;SlCzestCzes_zana6;PM2.5;24g;28,6;2,5;150,0;355;97,3;1,0
2013;œl¹skie;PL2405;strefa œl¹ska;SlGodGliniki;SlGodowWodz_wodzi;PM2.5;24g;38,4;8,0;210,0;340;93,2;1,2
2013;œl¹skie;PL2405;strefa œl¹ska;SlZlotPotLes;SlZlotyJano_lesni;PM2.5;1g;23,0;6,0;161,0;7699;87,9;0,9
2013;œl¹skie;PL2405;strefa œl¹ska;SlZlotPotLes;SlZlotyJano_lesni;PM2.5;24g;23,0;8,0;120,0;332;91,0;0,9
2013;œwiêtokrzyskie;PL2601;miasto Kielce;SkKielJagiel;SkKielJagielWios;PM2.5;24g;28,8;2,3;114,0;361;98,9;1,0
2013;œwiêtokrzyskie;PL2602;strefa œwiêtokrzyska;SkBuskRokosz;SkBuskoWios2;PM2.5;24g;24,4;3,3;149,6;323;88,5;1,3
2013;œwiêtokrzyskie;PL2602;strefa œwiêtokrzyska;SkMalo11List;SkMalogCemen3;PM2.5;1g;23,5;1,0;225,3;8264;94,3;0,9
2013;œwiêtokrzyskie;PL2602;strefa œwiêtokrzyska;SkPolaRuszcz;SkPolanRuszcz;PM2.5;1g;26,4;0,3;268,7;8546;97,6;1,0
2013;œwiêtokrzyskie;PL2602;strefa œwiêtokrzyska;SkStaraZlota;SkStaracZlota2;PM2.5;24g;26,8;5,1;116,4;352;96,4;1,0
2013;warmiñsko-mazurskie;PL2801;miasto Olsztyn;WmOlsPuszkin;WmOlsztyWIOS_Puszkin;PM2.5;24g;16,2;1,5;108,8;354;97,0;1,0
2013;warmiñsko-mazurskie;PL2802;miasto Elbl¹g;WmElbBazynsk;WmElblagWIOS_Bazynsk;PM2.5;24g;17,3;0,6;122,9;336;92,1;1,2
2013;warmiñsko-mazurskie;PL2803;strefa warmiñsko-mazurska;WmOstrChrobr;WmOstrodWIOS_Chrobre;PM2.5;24g;16,2;2,0;97,8;350;95,9;1,1
2013;warmiñsko-mazurskie;PL2803;strefa warmiñsko-mazurska;WmPuszczaBor;WmPuszcz_IOS_Borecka;PM2.5;24g;12,8;1,8;69,1;336;92,1;0,9
2013;wielkopolskie;PL3001;Aglomeracja Poznañska;WpPoznPolank;WpWKP001;PM2.5;1g;20,6;1,3;162,5;8523;97,3;1,0
2013;wielkopolskie;PL3001;Aglomeracja Poznañska;WpPoznPolank;WpWKP001;PM2.5;24g;23,4;4,3;100,7;360;98,6;1,0
2013;wielkopolskie;PL3002;miasto Kalisz;WpKaliSawick;WpWKPKalisz007/10;PM2.5;1g;32,3;0,0;208,4;8449;96,4;1,0
2013;wielkopolskie;PL3002;miasto Kalisz;WpKaliSawick;WpWKPKalisz007/10;PM2.5;24g;27,7;3,4;144,5;362;99,2;1,0
2013;zachodniopomorskie;PL3201;Aglomeracja Szczeciñska;ZpSzczAndr01;ZpSzczecin001;PM2.5;24g;13,9;2,0;77,6;332;91,0;0,9
2013;zachodniopomorskie;PL3201;Aglomeracja Szczeciñska;ZpSzczPils02;ZpSzczecin002;PM2.5;1g;17,0;1,0;134,0;8603;98,2;1,0
2013;zachodniopomorskie;PL3202;miasto Koszalin;ZpKoszSpasow;ZpKoszalin006;PM2.5;24g;11,9;1,4;64,6;362;99,2;1,0
2013;zachodniopomorskie;PL3203;strefa zachodniopomorska;ZpMyslZaBram;ZpMysMysliborz007;PM2.5;24g;18,6;1,4;115,4;348;95,3;1,0
2013;zachodniopomorskie;PL3203;strefa zachodniopomorska;ZpSzczec1Maj;ZpSzcSzczecinek008;PM2.5;24g;14,4;2,7;69,0;364;99,7;1,0
2014;dolnoœl¹skie;PL0201;Aglomeracja Wroc³awska;DsWrocAlWisn;DsWrocWisA;PM2.5;1g;28,6;1,0;269,0;8017;91,5;1,0
2014;dolnoœl¹skie;PL0201;Aglomeracja Wroc³awska;DsWrocNaGrob;DsWrocGrobla;PM2.5;24g;23,1;5,1;88,2;332;91,0;1,2
2014;dolnoœl¹skie;PL0202;miasto Legnica;DsLegAlRzecz;DsLegRzeczA;PM2.5;24g;26,6;5,0;131,0;345;94,5;0,9
2014;dolnoœl¹skie;PL0203;miasto Wa³brzych;DsWalbrzWyso;DsWalbWysA;PM2.5;24g;24,4;2,0;202,0;345;94,5;0,9
2014;dolnoœl¹skie;PL0204;strefa dolnoœl¹ska;DsOsieczow21;DsOsieczow;PM2.5;24g;16,0;2,2;69,7;326;89,3;1,2
2014;dolnoœl¹skie;PL0204;strefa dolnoœl¹ska;DsZgorBohGet;DsZgorzBohA;PM2.5;24g;20,2;3,0;94,7;358;98,1;1,0
2014;kujawsko-pomorskie;PL0401;Aglomeracja Bydgoska;KpBydBerling;KpBydgBerlinga;PM2.5;24g;19,3;1,3;65,9;328;89,9;1,0
2014;kujawsko-pomorskie;PL0401;Aglomeracja Bydgoska;KpBydPlPozna;KpBydgPlPozn;PM2.5;1g;24,3;1,0;320,9;7679;87,7;1,1
2014;kujawsko-pomorskie;PL0401;Aglomeracja Bydgoska;KpBydWarszaw;KpBydgWarszawska;PM2.5;1g;24,6;1,0;314,4;6948;79,3;1,4
2014;kujawsko-pomorskie;PL0402;miasto Toruñ;KpToruDziewu;KpTorunDziewulsk;PM2.5;1g;20,6;1,0;198,1;6622;75,6;1,4
2014;kujawsko-pomorskie;PL0402;miasto Toruñ;KpToruDziewu;KpTorunDziewulsk;PM2.5;24g;21,1;1,6;86,7;354;97,0;1,1
2014;kujawsko-pomorskie;PL0403;miasto W³oc³awek;KpWloclSiels;KpWloclSielska;PM2.5;24g;20,9;2,3;89,2;276;75,6;1,8
2014;kujawsko-pomorskie;PL0404;strefa kujawsko - pomorska;KpGrudSienki;KpGrudzStar;PM2.5;24g;24,6;1,6;120,8;362;99,2;1,0
2014;kujawsko-pomorskie;PL0404;strefa kujawsko - pomorska;KpWiktorowoG;KpAirpWiktorowo;PM2.5;1g;23,2;1,0;122,9;5674;64,8;1,1
2014;kujawsko-pomorskie;PL0404;strefa kujawsko - pomorska;KpZielBoryTu;KpZielBoryTuch;PM2.5;24g;14,6;1,4;60,0;343;94,0;1,1
2014;lubelskie;PL0601;Aglomeracja Lubelska;LbLubSliwins;LbLublin_Sliwins_5;PM2.5;24g;23,0;3,0;101,0;336;92,1;0,9
2014;lubelskie;PL0602;strefa lubelska;LbBiaPodOrze;LbBialaPOrzechowa;PM2.5;24g;25,8;3,0;216,0;354;97,0;1,0
2014;lubelskie;PL0602;strefa lubelska;LbChelJagiel;LbChelmJagWIOS;PM2.5;24g;23,9;4,0;111,0;364;99,7;1,0
2014;lubelskie;PL0602;strefa lubelska;LbZamoHrubie;LbZamoscHrubieszowsk;PM2.5;24g;22,9;2,0;87,0;361;98,9;1,0
2014;lubuskie;PL0801;miasto Gorzów Wielkopolski;LuGorzPilsud;LuGorzowWIOS_MAN;PM2.5;24g;14,8;2,0;53,3;351;96,2;1,1
2014;lubuskie;PL0802;miasto Zielona Góra;LuZielKrotka;LuZgoraWIOS_AUT;PM2.5;1g;26,3;0,0;241,2;7467;85,2;1,1
2014;lubuskie;PL0802;miasto Zielona Góra;LuZielKrotka;LuZgoraWIOS_AUT;PM2.5;24g;21,6;3,7;86,1;363;99,5;1,0
2014;lubuskie;PL0803;strefa lubuska;LuWsKaziWiel;LuWschowWIOS_AUT;PM2.5;24g;22,6;4,8;93,4;325;89,0;0,8
2014;³ódzkie;PL1001;Aglomeracja £ódzka;LdLodzCzerni;LdLodzWIOSACzernik;PM2.5;1g;29,0;1,1;276,3;8303;94,8;1,1
2014;³ódzkie;PL1001;Aglomeracja £ódzka;LdLodzCzerni;LdLodzWIOSACzernik;PM2.5;24g;24,3;5,5;75,0;363;99,5;1,0
2014;³ódzkie;PL1001;Aglomeracja £ódzka;LdLodzLegion;LdLodzWSSEMLegiono;PM2.5;24g;30,6;3,8;106,0;347;95,1;1,0
2014;³ódzkie;PL1001;Aglomeracja £ódzka;LdZgieMielcz;LdZgierzWIOSAMielcza;PM2.5;1g;22,0;0,5;296,9;8250;94,2;1,0
2014;³ódzkie;PL1002;strefa ³ódzka;LdPioTrSienk;LdPiotrkWIOSMSienkie;PM2.5;24g;32,5;6,0;139,0;362;99,2;1,0
2014;ma³opolskie;PL1201;Aglomeracja Krakowska;MpKrakAlKras;MpKrakowWIOSAKra6117;PM2.5;1g;45,0;4,0;264,0;8678;99,1;1,0
2014;ma³opolskie;PL1201;Aglomeracja Krakowska;MpKrakBujaka;MpKrakowWIOSBuja6119;PM2.5;1g;31,4;2,0;270,0;8428;96,2;1,1
2014;ma³opolskie;PL1201;Aglomeracja Krakowska;MpKrakBujaka;MpKrakowWIOSBuja6119;PM2.5;24g;33,0;4,0;206,0;350;95,9;1,0
2014;ma³opolskie;PL1201;Aglomeracja Krakowska;MpKrakBulwar;MpKrakowWIOSBulw6118;PM2.5;1g;31,8;3,0;245,0;8730;99,7;1,0
2014;ma³opolskie;PL1202;miasto Tarnów;MpTarBitStud;MpTarnowWIOSBitw6304;PM2.5;24g;25,5;5,0;112,0;347;95,1;1,1
2014;ma³opolskie;PL1203;strefa ma³opolska;MpBochKonfed;MpBochniWIOSKBar0106;PM2.5;24g;29,5;5,0;132,0;337;92,3;0,9
2014;ma³opolskie;PL1203;strefa ma³opolska;MpNoSaczNadb;MpNSaczWIOSNadb6205;PM2.5;24g;33,1;7,0;158,0;352;96,4;1,0
2014;ma³opolskie;PL1203;strefa ma³opolska;MpTrzebOsZWM;MpTrzebiWIOSZWM0305;PM2.5;24g;24,7;6,0;95,0;359;98,4;1,0
2014;ma³opolskie;PL1203;strefa ma³opolska;MpZakopaSien;MpZakopaWIOSRown1701;PM2.5;24g;29,9;5,0;169,0;363;99,5;1,0
2014;mazowieckie;PL1401;Aglomeracja Warszawska;MzWarAlNiepo;MzWarNiepodKom;PM2.5;1g;29,9;0,8;148,6;8144;93,0;0,9
2014;mazowieckie;PL1401;Aglomeracja Warszawska;MzWarKondrat;MzWarTarKondra;PM2.5;24g;25,5;5,4;106,7;339;92,9;1,0
2014;mazowieckie;PL1401;Aglomeracja Warszawska;MzWarWokalna;MzWarszUrsynow;PM2.5;1g;23,7;1,2;141,3;8581;98,0;1,0
2014;mazowieckie;PL1401;Aglomeracja Warszawska;MzWarWokalna;MzWarszUrsynow;PM2.5;24g;23,0;1,8;81,6;349;95,6;1,0
2014;mazowieckie;PL1402;miasto P³ock;MzPlocKroJad;MzPlockPKN;PM2.5;24g;24,0;1,6;84,5;338;92,6;0,9
2014;mazowieckie;PL1402;miasto P³ock;MzPlocMiReja;MzPlockReja;PM2.5;1g;24,3;1,0;156,5;8529;97,4;1,1
2014;mazowieckie;PL1403;miasto Radom;MzRadHallera;MzRadomHallera;PM2.5;24g;24,5;5,1;105,8;349;95,6;1,1
2014;mazowieckie;PL1403;miasto Radom;MzRadTochter;MzRadomTochter;PM2.5;1g;29,4;1,4;270,0;8714;99,5;1,0
2014;mazowieckie;PL1404;strefa mazowiecka;MzLegZegrzyn;MzLegionZegIMGW;PM2.5;1g;31,4;0,1;459,8;8175;93,3;1,0
2014;mazowieckie;PL1404;strefa mazowiecka;MzPiasPulask;MzPiastowPulask;PM2.5;24g;27,6;1,3;117,9;313;85,8;1,1
2014;mazowieckie;PL1404;strefa mazowiecka;MzSiedKonars;MzSiedlceKonar;PM2.5;1g;26,5;1,7;305,5;8729;99,6;1,0
2014;mazowieckie;PL1404;strefa mazowiecka;MzZyraRoosev;MzZyrardRoosevel;PM2.5;1g;28,2;2,0;289,6;8266;94,4;1,1
