Rok;Województwo;Kod strefy;Nazwa strefy;Kod stacji;Stary kod stacji;WskaŸnik;Czas uœredniania;Œrednia;Min;Maks;Liczba pomiarów;Kompletnoœæ ;Liczba Lato/Zima
2014;opolskie;PL1601;miasto Opole;OpOpoleOsAKr;OpOpole4pyl;PM2.5;24g;21,3;2,5;98,0;342;93,7;1,0
2014;opolskie;PL1602;strefa opolska;OpKKozBSmial;OpKkozle1a;PM2.5;1g;31,5;1,0;208,0;7671;87,6;0,9
2014;opolskie;PL1602;strefa opolska;OpKluczMicki;OpKlucz2pyl;PM2.5;24g;24,8;2,5;101,0;297;81,4;0,7
2014;podkarpackie;PL1801;miasto Rzeszów;PkRzeszRejta;PkRzeszWIOSNoweMiasto;PM2.5;24g;23,4;3,2;110,0;350;95,9;1,0
2014;podkarpackie;PL1802;strefa podkarpacka;PkJasloSikor;PkJasloWIOSSikorskiego;PM2.5;24g;22,4;3,1;101,0;342;93,7;1,1
2014;podkarpackie;PL1802;strefa podkarpacka;PkKrosKletow;PkKrosnoWIOSKletowki;PM2.5;24g;24,7;5,9;114,0;339;92,9;0,9
2014;podkarpackie;PL1802;strefa podkarpacka;PkNiskoSzkla;PkNiskoWIOSSzklar;PM2.5;24g;24,7;4,4;88,3;348;95,3;1,0
2014;podkarpackie;PL1802;strefa podkarpacka;PkPrzemGrunw;PkPrzemyslWIOSGrunw;PM2.5;1g;24,7;0,9;241,6;8418;96,1;1,0
2014;podlaskie;PL2001;Aglomeracja Bia³ostocka;PdBialWarsza;PdBialyWarszawska;PM2.5;24g;21,9;4,5;88,3;347;95,1;1,1
2014;podlaskie;PL2001;Aglomeracja Bia³ostocka;PdBialWaszyn;PdBialyMiejska;PM2.5;1g;19,6;0,0;246,0;7668;87,5;1,1
2014;podlaskie;PL2002;strefa podlaska;PdLomSikorsk;PdLomzaSikorskiego;PM2.5;24g;28,0;2,0;164,2;316;86,6;1,3
2014;podlaskie;PL2002;strefa podlaska;PdSuwPulaski;PdSuwPulaski;PM2.5;1g;15,2;0,0;139,8;4951;56,5;1,3
2014;pomorskie;PL2201;Aglomeracja Trójmiejska;PmGdaLeczk08;Pm.a08a;PM2.5;1g;16,1;0,4;126,0;8627;98,5;1,0
2014;pomorskie;PL2201;Aglomeracja Trójmiejska;PmGdaPowWiel;Pm.01w.02m;PM2.5;24g;17,6;1,0;101,0;318;87,1;0,8
2014;pomorskie;PL2202;strefa pomorska;PmKosTargo12;Pm.AM12.a;PM2.5;1g;33,1;0,0;414,2;7389;84,3;1,0
2014;pomorskie;PL2202;strefa pomorska;PmKosTargo12;Pm.AM12.a;PM2.5;24g;26,8;1,0;95,0;338;92,6;1,0
2014;pomorskie;PL2202;strefa pomorska;PmSlupKniazi;Pm.63.wDSAa;PM2.5;24g;16,4;2,0;73,0;282;77,3;1,0
2014;œl¹skie;PL2401;Aglomeracja Górnoœl¹ska;SlGliwicMewy;SlGliwiGliw_mewy;PM2.5;1g;35,8;2,0;339,0;8565;97,8;1,0
2014;œl¹skie;PL2401;Aglomeracja Górnoœl¹ska;SlGliwicMewy;SlGliwiGliw_mewy;PM2.5;24g;36,6;4,0;125,0;355;97,3;1,1
2014;œl¹skie;PL2401;Aglomeracja Górnoœl¹ska;SlKatoKossut;SlKatowKato_kossu;PM2.5;1g;30,7;3,0;399,0;8579;97,9;1,0
2014;œl¹skie;PL2401;Aglomeracja Górnoœl¹ska;SlKatoKossut;SlKatowKato_kossu;PM2.5;24g;32,5;4,0;152,0;328;89,9;1,0
2014;œl¹skie;PL2401;Aglomeracja Górnoœl¹ska;SlKatoPlebA4;SlKatowKato_aleja;PM2.5;24g;37,7;8,0;148,0;345;94,5;1,1
2014;œl¹skie;PL2402;Aglomeracja Rybnicko-Jastrzêbska;SlZorySikors;SlZoryzZory_sikor;PM2.5;24g;28,4;2,0;120,0;341;93,4;1,0
2014;œl¹skie;PL2403;miasto Bielsko-Bia³a;SlBielSterni;SlBielbBiel_stern;PM2.5;24g;28,7;3,0;256,0;362;99,2;1,0
2014;œl¹skie;PL2404;miasto Czêstochowa;SlCzestoZana;SlCzestCzes_zana6;PM2.5;24g;29,7;5,0;158,0;358;98,1;1,1
2014;œl¹skie;PL2405;strefa œl¹ska;SlGodGliniki;SlGodowWodz_wodzi;PM2.5;24g;40,0;7,0;194,0;357;97,8;1,1
2014;œl¹skie;PL2405;strefa œl¹ska;SlTarnoLitew;SlTarnoTarn_litew;PM2.5;24g;33,7;5,0;129,0;363;99,5;1,0
2014;œl¹skie;PL2405;strefa œl¹ska;SlZlotPotLes;SlZlotyJano_lesni;PM2.5;1g;17,5;0,0;129,0;8117;92,7;1,0
2014;œl¹skie;PL2405;strefa œl¹ska;SlZlotPotLes;SlZlotyJano_lesni;PM2.5;24g;21,3;1,0;73,0;353;96,7;0,9
2014;œwiêtokrzyskie;PL2601;miasto Kielce;SkKielJagiel;SkKielJagielWios;PM2.5;1g;32,7;0,0;432,9;8500;97,0;1,0
2014;œwiêtokrzyskie;PL2601;miasto Kielce;SkKielJagiel;SkKielJagielWios;PM2.5;24g;26,8;1,2;117,2;352;96,4;1,1
2014;œwiêtokrzyskie;PL2602;strefa œwiêtokrzyska;SkBuskRokosz;SkBuskoWios2;PM2.5;24g;23,5;2,2;84,1;355;97,3;1,0
2014;œwiêtokrzyskie;PL2602;strefa œwiêtokrzyska;SkMalo11List;SkMalogCemen3;PM2.5;1g;20,3;1,3;240,2;8664;98,9;1,0
2014;œwiêtokrzyskie;PL2602;strefa œwiêtokrzyska;SkPolaRuszcz;SkPolanRuszcz;PM2.5;1g;25,7;1,0;251,0;8715;99,5;1,0
2014;œwiêtokrzyskie;PL2602;strefa œwiêtokrzyska;SkStaraZlota;SkStaracZlota2;PM2.5;24g;25,4;3,8;93,3;359;98,4;1,0
2014;warmiñsko-mazurskie;PL2801;miasto Olsztyn;WmOlsPuszkin;WmOlsztyWIOS_Puszkin;PM2.5;1g;22,6;-3,4;120,8;8495;97,0;1,0
2014;warmiñsko-mazurskie;PL2801;miasto Olsztyn;WmOlsPuszkin;WmOlsztyWIOS_Puszkin;PM2.5;24g;16,5;2,2;64,5;341;93,4;1,1
2014;warmiñsko-mazurskie;PL2802;miasto Elbl¹g;WmElbBazynsk;WmElblagWIOS_Bazynsk;PM2.5;24g;15,5;0,9;59,7;358;98,1;1,0
2014;warmiñsko-mazurskie;PL2803;strefa warmiñsko-mazurska;WmOstrChrobr;WmOstrodWIOS_Chrobre;PM2.5;24g;16,0;2,5;63,3;363;99,5;1,0
2014;warmiñsko-mazurskie;PL2803;strefa warmiñsko-mazurska;WmPuszczaBor;WmPuszcz_IOS_Borecka;PM2.5;24g;13,8;2,4;46,3;341;93,4;1,0
2014;wielkopolskie;PL3001;Aglomeracja Poznañska;WpPoznPolank;WpWKP001;PM2.5;1g;21,0;0,4;218,1;8575;97,9;1,0
2014;wielkopolskie;PL3001;Aglomeracja Poznañska;WpPoznPolank;WpWKP001;PM2.5;24g;26,4;4,4;93,3;346;94,8;1,0
2014;wielkopolskie;PL3002;miasto Kalisz;WpKaliSawick;WpWKPKalisz007/10;PM2.5;1g;32,5;0,0;293,1;8068;92,1;1,0
2014;wielkopolskie;PL3002;miasto Kalisz;WpKaliSawick;WpWKPKalisz007/10;PM2.5;24g;29,0;5,0;131,4;365;100,0;1,0
2014;zachodniopomorskie;PL3201;Aglomeracja Szczeciñska;ZpSzczAndr01;ZpSzczecin001;PM2.5;1g;19,9;0,0;149,8;7959;90,9;1,0
2014;zachodniopomorskie;PL3201;Aglomeracja Szczeciñska;ZpSzczAndr01;ZpSzczecin001;PM2.5;24g;18,2;1,7;69,2;359;98,4;1,0
2014;zachodniopomorskie;PL3201;Aglomeracja Szczeciñska;ZpSzczPils02;ZpSzczecin002;PM2.5;1g;22,5;1,0;147,0;8378;95,6;1,0
2014;zachodniopomorskie;PL3202;miasto Koszalin;ZpKoszSpasow;ZpKoszalin006;PM2.5;24g;16,6;2,2;65,1;292;80,0;1,0
2014;zachodniopomorskie;PL3203;strefa zachodniopomorska;ZpMyslZaBram;ZpMysMysliborz007;PM2.5;24g;24,2;1,0;90,7;332;91,0;0,9
2014;zachodniopomorskie;PL3203;strefa zachodniopomorska;ZpSzczec1Maj;ZpSzcSzczecinek008;PM2.5;24g;17,1;2,4;69,3;351;96,2;1,1
2015;dolnoœl¹skie;PL0201;Aglomeracja Wroc³awska;DsWrocAlWisn;DsWrocWisA;PM2.5;1g;30,3;0,2;288,6;8404;95,9;1,0
2015;dolnoœl¹skie;PL0201;Aglomeracja Wroc³awska;DsWrocNaGrob;DsWrocGrobla;PM2.5;24g;22,9;4,7;142,4;309;84,7;0,9
2015;dolnoœl¹skie;PL0201;Aglomeracja Wroc³awska;DsWrocWybCon;DsWrocKorzA;PM2.5;1g;24,0;0,0;294,0;8176;93,3;1,0
2015;dolnoœl¹skie;PL0202;miasto Legnica;DsLegAlRzecz;DsLegRzeczA;PM2.5;24g;22,9;2,1;147,2;361;98,9;1,0
2015;dolnoœl¹skie;PL0203;miasto Wa³brzych;DsWalbrzWyso;DsWalbWysA;PM2.5;24g;18,9;1,9;110,3;327;89,6;1,1
2015;dolnoœl¹skie;PL0204;strefa dolnoœl¹ska;DsJelGorOgin;DsJeleniaGoraA;PM2.5;1g;18,4;0,0;262,6;8478;96,8;1,0
2015;dolnoœl¹skie;PL0204;strefa dolnoœl¹ska;DsOsieczow21;DsOsieczow;PM2.5;24g;14,5;0,0;64,1;353;96,7;1,0
2015;dolnoœl¹skie;PL0204;strefa dolnoœl¹ska;DsZgorBohGet;DsZgorzBohA;PM2.5;24g;18,4;3,3;60,4;345;94,5;1,0
2015;kujawsko-pomorskie;PL0401;Aglomeracja Bydgoska;KpBydBerling;KpBydgBerlinga;PM2.5;24g;15,8;1,5;68,9;365;100,0;1,0
2015;kujawsko-pomorskie;PL0401;Aglomeracja Bydgoska;KpBydPlPozna;KpBydgPlPozn;PM2.5;1g;22,1;1,0;313,7;8154;93,1;1,0
2015;kujawsko-pomorskie;PL0401;Aglomeracja Bydgoska;KpBydWarszaw;KpBydgWarszawska;PM2.5;1g;23,1;1,0;234,9;6130;70,0;1,0
2015;kujawsko-pomorskie;PL0402;miasto Toruñ;KpToruDziewu;KpTorunDziewulsk;PM2.5;1g;21,5;1,0;274,7;5853;66,8;0,7
2015;kujawsko-pomorskie;PL0402;miasto Toruñ;KpToruDziewu;KpTorunDziewulsk;PM2.5;24g;18,9;1,0;91,5;362;99,2;1,0
2015;kujawsko-pomorskie;PL0403;miasto W³oc³awek;KpWloclSiels;KpWloclSielska;PM2.5;24g;18,4;1,3;73,7;341;93,4;1,0
2015;kujawsko-pomorskie;PL0404;strefa kujawsko - pomorska;KpGrudSienki;KpGrudzStar;PM2.5;24g;26,8;0,7;122,5;354;97,0;1,0
2015;kujawsko-pomorskie;PL0404;strefa kujawsko - pomorska;KpZielBoryTu;KpZielBoryTuch;PM2.5;24g;13,4;0,4;53,9;293;80,3;0,6
2015;lubelskie;PL0601;Aglomeracja Lubelska;LbLubObywate;LbLublinWIOS;PM2.5;1g;28,2;0,2;328,3;8515;97,2;1,0
2015;lubelskie;PL0601;Aglomeracja Lubelska;LbLubSliwins;LbLublin_Sliwins_5;PM2.5;24g;21,3;3,0;102,0;365;100,0;1,0
2015;lubelskie;PL0602;strefa lubelska;LbBiaPodOrze;LbBialaPOrzechowa;PM2.5;24g;26,3;5,0;146,0;364;99,7;1,0
2015;lubelskie;PL0602;strefa lubelska;LbChelJagiel;LbChelmJagWIOS;PM2.5;24g;27,2;5,0;138,0;345;94,5;1,0
2015;lubelskie;PL0602;strefa lubelska;LbZamoHrubie;LbZamoscHrubieszowsk;PM2.5;24g;24,0;4,0;128,0;365;100,0;1,0
2015;lubuskie;PL0801;miasto Gorzów Wielkopolski;LuGorzPilsud;LuGorzowWIOS_MAN;PM2.5;24g;16,6;3,1;75,6;358;98,1;1,1
2015;lubuskie;PL0802;miasto Zielona Góra;LuZielKrotka;LuZgoraWIOS_AUT;PM2.5;1g;22,4;1,5;205,4;8498;97,0;1,0
2015;lubuskie;PL0802;miasto Zielona Góra;LuZielKrotka;LuZgoraWIOS_AUT;PM2.5;24g;19,2;3,7;104,8;364;99,7;1,0
2015;lubuskie;PL0803;strefa lubuska;LuZarySzyman;LuZaryWIOS_AUT;PM2.5;24g;19,6;4,2;134,6;350;95,9;1,1
2015;³ódzkie;PL1001;Aglomeracja £ódzka;LdLodzCzerni;LdLodzWIOSACzernik;PM2.5;1g;21,1;1,0;185,9;8396;95,8;1,0
2015;³ódzkie;PL1001;Aglomeracja £ódzka;LdLodzCzerni;LdLodzWIOSACzernik;PM2.5;24g;22,1;3,0;78,0;361;98,9;1,0
2015;³ódzkie;PL1001;Aglomeracja £ódzka;LdLodzGdansk;LdLodzWIOSAGdanska;PM2.5;1g;25,6;0,0;282,0;7298;83,3;1,0
2015;³ódzkie;PL1001;Aglomeracja £ódzka;LdLodzLegion;LdLodzWSSEMLegiono;PM2.5;24g;29,7;6,0;127,0;364;99,7;1,0
2015;³ódzkie;PL1001;Aglomeracja £ódzka;LdZgieMielcz;LdZgierzWIOSAMielcza;PM2.5;1g;20,5;0,0;253,0;8216;93,8;0,9
2015;³ódzkie;PL1002;strefa ³ódzka;LdPioTrKraPr;LdPiotrkWIOSAKrakPrz;PM2.5;24g;31,6;3,3;149,0;353;96,7;1,0
2015;ma³opolskie;PL1201;Aglomeracja Krakowska;MpKrakAlKras;MpKrakowWIOSAKra6117;PM2.5;1g;43,8;2,8;272,3;8574;97,9;1,0
2015;ma³opolskie;PL1201;Aglomeracja Krakowska;MpKrakBujaka;MpKrakowWIOSBuja6119;PM2.5;1g;32,2;3,0;289,7;8670;99,0;1,0
2015;ma³opolskie;PL1201;Aglomeracja Krakowska;MpKrakBujaka;MpKrakowWIOSBuja6119;PM2.5;24g;33,7;5,0;150,0;365;100,0;1,0
2015;ma³opolskie;PL1201;Aglomeracja Krakowska;MpKrakBulwar;MpKrakowWIOSBulw6118;PM2.5;1g;33,3;3,0;453,2;8320;95,0;1,0
2015;ma³opolskie;PL1202;miasto Tarnów;MpTarBitStud;MpTarnowWIOSBitw6304;PM2.5;24g;25,2;6,0;118,0;356;97,5;1,1
2015;ma³opolskie;PL1203;strefa ma³opolska;MpBochKonfed;MpBochniWIOSKBar0106;PM2.5;24g;29,2;5,0;109,0;354;97,0;1,0
2015;ma³opolskie;PL1203;strefa ma³opolska;MpNoSaczNadb;MpNSaczWIOSNadb6205;PM2.5;24g;36,0;6,0;148,0;365;100,0;1,0
2015;ma³opolskie;PL1203;strefa ma³opolska;MpTrzebOsZWM;MpTrzebiWIOSZWM0305;PM2.5;24g;25,8;5,0;134,0;359;98,4;1,0
2015;ma³opolskie;PL1203;strefa ma³opolska;MpZakopaSien;MpZakopaWIOSRown1701;PM2.5;24g;28,2;6,0;156,0;349;95,6;1,0
2015;mazowieckie;PL1401;Aglomeracja Warszawska;MzWarAlNiepo;MzWarNiepodKom;PM2.5;1g;24,1;1,3;134,5;8711;99,4;1,0
2015;mazowieckie;PL1401;Aglomeracja Warszawska;MzWarKondrat;MzWarTarKondra;PM2.5;1g;23,5;0,1;214,8;8533;97,4;1,0
2015;mazowieckie;PL1401;Aglomeracja Warszawska;MzWarKondrat;MzWarTarKondra;PM2.5;24g;23,6;5,4;93,3;357;97,8;1,0
2015;mazowieckie;PL1401;Aglomeracja Warszawska;MzWarWokalna;MzWarszUrsynow;PM2.5;1g;21,3;1,3;128,4;8598;98,2;1,0
2015;mazowieckie;PL1401;Aglomeracja Warszawska;MzWarWokalna;MzWarszUrsynow;PM2.5;24g;21,0;4,0;92,9;357;97,8;1,0
2015;mazowieckie;PL1402;miasto P³ock;MzPlocKroJad;MzPlockPKN;PM2.5;24g;21,4;3,6;84,4;361;98,9;1,0
2015;mazowieckie;PL1402;miasto P³ock;MzPlocMiReja;MzPlockReja;PM2.5;1g;21,5;1,2;161,4;8650;98,7;1,0
2015;mazowieckie;PL1403;miasto Radom;MzRadHallera;MzRadomHallera;PM2.5;24g;25,0;5,1;90,2;355;97,3;1,1
2015;mazowieckie;PL1403;miasto Radom;MzRadTochter;MzRadomTochter;PM2.5;1g;28,1;1,4;323,2;8271;94,4;0,9
2015;mazowieckie;PL1404;strefa mazowiecka;MzLegZegrzyn;MzLegionZegIMGW;PM2.5;1g;32,2;0,1;542,7;8446;96,4;1,0
2015;mazowieckie;PL1404;strefa mazowiecka;MzOstroHalle;MzOstrolHallera;PM2.5;24g;21,0;4,2;86,4;354;97,0;1,0
2015;mazowieckie;PL1404;strefa mazowiecka;MzPiasPulask;MzPiastowPulask;PM2.5;1g;30,5;1,7;302,6;8556;97,7;1,0
2015;mazowieckie;PL1404;strefa mazowiecka;MzSiedKonars;MzSiedlceKonar;PM2.5;1g;24,9;1,0;291,2;8579;97,9;1,0
2015;mazowieckie;PL1404;strefa mazowiecka;MzZyraRoosev;MzZyrardRoosevel;PM2.5;1g;30,1;0,7;343,4;8590;98,1;1,0
2015;opolskie;PL1601;miasto Opole;OpOpoleOsAKr;OpOpole4pyl;PM2.5;24g;21,2;2,5;159,0;365;100,0;1,0
2015;opolskie;PL1602;strefa opolska;OpKKozBSmial;OpKkozle1a;PM2.5;1g;27,0;0,0;294,1;8271;94,4;1,0
2015;opolskie;PL1602;strefa opolska;OpKluczMicki;OpKlucz2pyl;PM2.5;24g;20,3;2,5;163,0;358;98,1;1,0
2015;podkarpackie;PL1801;miasto Rzeszów;PkRzeszRejta;PkRzeszWIOSNoweMiasto;PM2.5;24g;22,8;4,6;132,0;354;97,0;1,1
2015;podkarpackie;PL1802;strefa podkarpacka;PkJasloSikor;PkJasloWIOSSikorskiego;PM2.5;24g;24,1;4,8;140,0;339;92,9;0,9
2015;podkarpackie;PL1802;strefa podkarpacka;PkKrosKletow;PkKrosnoWIOSKletowki;PM2.5;24g;24,5;5,4;129,0;333;91,2;1,0
2015;podkarpackie;PL1802;strefa podkarpacka;PkMielSolski;PkMielecWIOSSolskiego;PM2.5;1g;27,1;0,3;272,6;8611;98,3;1,0
2015;podkarpackie;PL1802;strefa podkarpacka;PkNiskoSzkla;PkNiskoWIOSSzklar;PM2.5;24g;23,0;4,5;88,3;364;99,7;1,0
2015;podkarpackie;PL1802;strefa podkarpacka;PkPrzemGrunw;PkPrzemyslWIOSGrunw;PM2.5;1g;25,9;0,4;277,7;8566;97,8;1,0
2015;podlaskie;PL2001;Aglomeracja Bia³ostocka;PdBialWarsza;PdBialyWarszawska;PM2.5;24g;21,2;3,4;106,5;357;97,8;1,0
2015;podlaskie;PL2001;Aglomeracja Bia³ostocka;PdBialWaszyn;PdBialyMiejska;PM2.5;1g;19,3;0,0;261,0;7801;89,1;1,1
2015;podlaskie;PL2002;strefa podlaska;PdHajnowkJagMOB;PdHajnowkJagMOB;PM2.5;1g;25,5;2,4;272,1;2369;27,0;0,2
2015;podlaskie;PL2002;strefa podlaska;PdLomSikorsk;PdLomzaSikorskiego;PM2.5;24g;26,6;3,6;124,8;321;87,9;1,1
2015;podlaskie;PL2002;strefa podlaska;PdSuwPulaski;PdSuwPulaski;PM2.5;1g;13,3;0,0;154,0;8458;96,6;1,0
2015;pomorskie;PL2201;Aglomeracja Trójmiejska;PmGdaLeczk08;Pm.a08a;PM2.5;1g;12,9;0,1;120,6;8617;98,4;1,0
2015;pomorskie;PL2201;Aglomeracja Trójmiejska;PmGdaPowWiel;Pm.01w.02m;PM2.5;24g;14,2;1,0;64,0;357;97,8;1,0
2015;pomorskie;PL2202;strefa pomorska;PmKosTargo12;Pm.AM12.a;PM2.5;1g;25,4;0,1;294,6;6760;77,2;0,9
2015;pomorskie;PL2202;strefa pomorska;PmKosTargo12;Pm.AM12.a;PM2.5;24g;22,9;1,0;97,0;325;89,0;1,0
2015;pomorskie;PL2202;strefa pomorska;PmSlupKniazi;Pm.63.wDSAa;PM2.5;24g;14,1;1,0;65,0;288;78,9;1,1
2015;œl¹skie;PL2401;Aglomeracja Górnoœl¹ska;SlGliwicMewy;SlGliwiGliw_mewy;PM2.5;1g;31,2;2,1;379,2;8612;98,3;1,0
2015;œl¹skie;PL2401;Aglomeracja Górnoœl¹ska;SlGliwicMewy;SlGliwiGliw_mewy;PM2.5;24g;30,6;6,7;220,3;360;98,6;1,0
2015;œl¹skie;PL2401;Aglomeracja Górnoœl¹ska;SlKatoKossut;SlKatowKato_kossu;PM2.5;1g;28,4;1,8;323,1;8715;99,5;1,0
2015;œl¹skie;PL2401;Aglomeracja Górnoœl¹ska;SlKatoKossut;SlKatowKato_kossu;PM2.5;24g;27,3;5,3;190,5;333;91,2;1,1
2015;œl¹skie;PL2401;Aglomeracja Górnoœl¹ska;SlKatoPlebA4;SlKatowKato_aleja;PM2.5;24g;33,1;2,6;205,5;350;95,9;1,1
2015;œl¹skie;PL2402;Aglomeracja Rybnicko-Jastrzêbska;SlZorySikors;SlZoryzZory_sikor;PM2.5;24g;27,8;3,2;200,6;346;94,8;1,0
2015;œl¹skie;PL2403;miasto Bielsko-Bia³a;SlBielSterni;SlBielbBiel_stern;PM2.5;24g;25,9;2,6;124,2;356;97,5;1,0
2015;œl¹skie;PL2404;miasto Czêstochowa;SlCzestoZana;SlCzestCzes_zana6;PM2.5;24g;26,0;3,0;183,5;350;95,9;1,0
2015;œl¹skie;PL2405;strefa œl¹ska;SlGodGliniki;SlGodowWodz_wodzi;PM2.5;24g;34,9;6,6;175,0;353;96,7;1,1
2015;œl¹skie;PL2405;strefa œl¹ska;SlTarnoLitew;SlTarnoTarn_litew;PM2.5;24g;29,1;1,0;189,2;332;91,0;1,1
2015;œl¹skie;PL2405;strefa œl¹ska;SlZlotPotLes;SlZlotyJano_lesni;PM2.5;1g;19,0;1,9;178,2;8392;95,8;1,0
2015;œl¹skie;PL2405;strefa œl¹ska;SlZlotPotLes;SlZlotyJano_lesni;PM2.5;24g;18,5;4,7;123,0;336;92,1;1,1
2015;œwiêtokrzyskie;PL2601;miasto Kielce;SkKielJagiel;SkKielJagielWios;PM2.5;1g;25,3;0,0;375,0;8689;99,2;1,0
2015;œwiêtokrzyskie;PL2601;miasto Kielce;SkKielJagiel;SkKielJagielWios;PM2.5;24g;25,6;2,4;149,9;350;95,9;1,0
2015;œwiêtokrzyskie;PL2602;strefa œwiêtokrzyska;SkBuskRokosz;SkBuskoWios2;PM2.5;24g;21,0;2,8;99,2;355;97,3;1,0
2015;œwiêtokrzyskie;PL2602;strefa œwiêtokrzyska;SkMalo11List;SkMalogCemen3;PM2.5;1g;18,1;0,0;206,7;8622;98,4;1,0
2015;œwiêtokrzyskie;PL2602;strefa œwiêtokrzyska;SkPolaRuszcz;SkPolanRuszcz;PM2.5;1g;25,3;0,0;187,8;8554;97,6;1,0
2015;œwiêtokrzyskie;PL2602;strefa œwiêtokrzyska;SkStaraZlota;SkStaracZlota2;PM2.5;24g;22,3;4,0;92,5;350;95,9;1,0
2015;warmiñsko-mazurskie;PL2801;miasto Olsztyn;WmOlsPuszkin;WmOlsztyWIOS_Puszkin;PM2.5;1g;20,0;-6,4;112,2;8589;98,0;1,0
2015;warmiñsko-mazurskie;PL2801;miasto Olsztyn;WmOlsPuszkin;WmOlsztyWIOS_Puszkin;PM2.5;24g;16,7;2,3;67,7;358;98,1;1,0
2015;warmiñsko-mazurskie;PL2802;miasto Elbl¹g;WmElbBazynsk;WmElblagWIOS_Bazynsk;PM2.5;24g;14,9;1,1;66,4;364;99,7;1,0
2015;warmiñsko-mazurskie;PL2803;strefa warmiñsko-mazurska;WmOstrChrobr;WmOstrodWIOS_Chrobre;PM2.5;24g;17,3;3,7;139,6;353;96,7;0,9
2015;warmiñsko-mazurskie;PL2803;strefa warmiñsko-mazurska;WmPuszczaBor;WmPuszcz_IOS_Borecka;PM2.5;24g;12,5;2,0;72,4;349;95,6;1,0
2015;wielkopolskie;PL3001;Aglomeracja Poznañska;WpPoznPolank;WpWKP001;PM2.5;1g;18,9;0,0;161,4;8611;98,3;1,0
2015;wielkopolskie;PL3001;Aglomeracja Poznañska;WpPoznPolank;WpWKP001;PM2.5;24g;24,4;3,7;136,4;352;96,4;1,1
2015;wielkopolskie;PL3002;miasto Kalisz;WpKaliSawick;WpWKPKalisz007/10;PM2.5;1g;28,6;0,0;212,6;8183;93,4;1,0
2015;wielkopolskie;PL3002;miasto Kalisz;WpKaliSawick;WpWKPKalisz007/10;PM2.5;24g;27,2;5,6;112,3;349;95,6;1,1
2015;wielkopolskie;PL3003;strefa wielkopolska;WpPleszAlMic;WpPleszewPM10/14;PM2.5;24g;33,6;7,1;154,3;352;96,4;0,9
2015;zachodniopomorskie;PL3201;Aglomeracja Szczeciñska;ZpSzczAndr01;ZpSzczecin001;PM2.5;1g;15,2;-2,8;193,1;8583;98,0;1,0
2015;zachodniopomorskie;PL3201;Aglomeracja Szczeciñska;ZpSzczAndr01;ZpSzczecin001;PM2.5;24g;15,4;2,5;74,9;357;97,8;1,0
2015;zachodniopomorskie;PL3201;Aglomeracja Szczeciñska;ZpSzczPils02;ZpSzczecin002;PM2.5;1g;19,3;0,1;215,4;8567;97,8;1,0
2015;zachodniopomorskie;PL3202;miasto Koszalin;ZpKoszSpasow;ZpKoszalin006;PM2.5;24g;13,5;2,0;61,1;365;100,0;1,0
2015;zachodniopomorskie;PL3203;strefa zachodniopomorska;ZpMyslZaBram;ZpMysMysliborz007;PM2.5;24g;20,1;2,9;98,3;358;98,1;1,0
2015;zachodniopomorskie;PL3203;strefa zachodniopomorska;ZpSzczec1Maj;ZpSzcSzczecinek008;PM2.5;24g;14,3;2,2;74,8;365;100,0;1,0
